,Actinobaculum,Actinomyces,GGB9835,Pauljensenia,Peptidiphaga,Schaalia,Aeriscardovia,Alloscardovia,Bifidobacterium,Parascardovia,Scardovia,Corynebacterium,Lawsonella,Tsukamurella,Cellulomonas,Janibacter,Microbacterium,Kocuria,Micrococcus,Rothia,Isoptericola,Tropheryma,Arachnia,Cutibacterium,GGB10025,Propionibacterium,GGB9369,Atopobium,Lancefieldella,Olsenella,Collinsella,Cryptobacterium,Slackia,GGB71303,Bacteroidetes_unclassified,Bacteroides,Phocaeicola,GGB1088,GGB1431,GGB1473,GGB45697,Porphyromonas,Alloprevotella,GGB1144,GGB1186,GGB33085,GGB74351,GGB74353,Hallella,Prevotella,Prevotellaceae_unclassified,Alistipes,Tannerella,GGB49229,GGB1022,GGB1024,GGB49217,GGB1025,GGB1026,GGB1202,GGB1203,GGB1611,GGB71456,GGB1188,GGB79977,GGB49219,Spirosoma,Capnocytophaga,GGB1832,GGB1833,GGB1838,Bergeyella,Chryseobacterium,Epilithonimonas,GGB1843,GGB1844,GGB1845,Sphingobacterium,Candidatus_Absconditabacteria_unclassified,GGB4936,GGB4937,Candidatus_Gracilibacteria_unclassified,GGB4365,GGB12783,GGB70967,GGB12763,Candidatus_Nanoperiomorbus,Candidatus_Nanogingivalis,GGB12785,GGB12786,Candidatus_Nanosyncoccus,Candidatus_Saccharibacteria_unclassified,GGB12761,GGB12787,GGB12788,GGB12789,GGB12794,GGB49434,Candidatus_Nanosynbacter,Candidatus_Nanosynsacchari,Anaerolineaceae_unclassified,Deinococcus,Anoxybacillus,Bacillus,Geobacillus,Exiguobacterium,Gemella,Macrococcus,Mammaliicoccus,Staphylococcus,Abiotrophia,Aerococcus,Dolosigranulum,Granulicatella,GGB10485,GGB15717,Vagococcus,Lacticaseibacillus,Lactobacillus,Lentilactobacillus,Leuconostoc,Ligilactobacillus,Limosilactobacillus,Pediococcus,Weissella,Lactococcus,Streptococcus,GGB3008,GGB38873,GGB3886,GGB4533,GGB4538,GGB4721,GGB4733,GGB4964,GGB9758,GGB51647,GGB49400,GGB4300,GGB3388,GGB3389,GGB3390,Pseudoramibacter,Alterileibacterium,Eubacteriales_Family_XIII_Incertae_Sedis_unclassified,GGB51110,Mogibacterium,Fenollaria,GGB70946,Levyella,Blautia,Catonella,Coprococcus,Dorea,Faecalicatena,Fusicatenibacter,GGB3385,GGB3386,GGB3887,Johnsonella,Lachnoanaerobaculum,Lachnospira,Lachnospiraceae_unclassified,Oribacterium,Roseburia,Shuttleworthia,Stomatobaculum,Faecalibacterium,GGB9635,Oscillibacter,Oscillospiraceae_unclassified,Ruminococcus,Filifactor,GGB4783,GGB4786,GGB50592,Peptoanaerobacter,Peptostreptococcaceae_unclassified,Peptostreptococcus,Eggerthia,Bulleidia,Faecalibacillus,Solobacterium,Phascolarctobacterium,Centipeda,GGB4303,GGB4308,Mitsuokella,Pectinatus,Selenomonas,Anaeroglobus,Dialister,GGB4272,Megasphaera,Veillonella,Anaerococcus,Finegoldia,Parvimonas,Ezakiella,Fusobacterium,GGB56136,GGB4393,GGB4400,GGB49528,GGB71292,Leptotrichia,Pseudoleptotrichia,Pseudostreptobacillus,Caulobacter,GGB7899,Methylobacterium,Phreatobacter,Rhizobium,Paracoccus,Endobacter,Novosphingobium,Sphingomonas,Burkholderia,Cupriavidus,Lautropia,Ralstonia,Tepidimonas,Acidovorax,Caldimonas,Comamonas,Delftia,Ottowia,Pelomonas,Tibeticola,Zhizhongheella,Eikenella,GGB6675,GGB6679,GGB6688,GGB72533,Kingella,Neisseria,Simonsiella,GGB6673,GGB6646,GGB12441,GGB7107,Desulfobulbus,Desulfomicrobium,Desulfovibrio,Campylobacter,GGB12440,GGB12443,Cardiobacterium,Cronobacter,Enterobacter,Escherichia,Klebsiella,Phytobacter,Pluralibacter,Pantoea,Rosenbergiella,Pectobacterium,Acinetobacter,GGB72444,Moraxella,Psychrobacter,Carnimonas,Aggregatibacter,GGB6813,Haemophilus,Pseudomonas,Vibrio,Aerosticca,Pseudoxanthomonas,Stenotrophomonas,Vulcaniibacterium,Xanthomonas,GGB2671,GGB49499,GGB2665,GGB2666,GGB2672,GGB2674,GGB2676,GGB49504,GGB71076,GGB73508,Treponema,Fretibacterium,GGB10852,Pyramidobacter,GGB42243,GGB4333,Mycoplasma,Ureaplasma,Candida
8497,0,4.13153,0,0.00336,0,0.00455,0,0,0,0.00098,0.00373,0.05067,0,0,0.00777,0,0,0,0,3.39302,0,0,0.00803,0,0.02322,0,0,0,0.48949,0.00066,0,0.00114,0.00609,0,0.00863,0,0.00932,0.06041,0,0.04942,0.02365,6.53506,2.79887,3.31009,0.00871,0,0,0.0042,0,35.15391,0,0,0.16756,0,0.00732,0,0,0.00284,0.20516,0.0465,0.18099,0,0,0,0.24047,0,0,0.15536,0,0.00551,0,0,0,0,0.08845,0.01261,0.00379,0,0.50716,0.01734,0.01968,0.00037,0.00103,0,0,0.36226,0.01839,0.02748,0.09573,0,0.46886,3.75932,0,0,0,0,0.00848,0.00448,0.00605,0.07286,0,0,0,0,0,0,0.86568,0,0,0,0.0177,0,0,1.64798,0.09155,0,0,0,0,0,0,0,0,0,0,0,2.20731,0,0,0.02595,0.32296,0.02592,0.00081,0.0065,0,0,0,0,0.00679,0.00016,0,0.0088,0.00384,0,1.57298,0,0.35062,0,0,0,0,0.13661,0,0,0,0,0.01033,0,0.02294,0.00079,0.28473,0,0.01744,1.12482,0,0.00304,0.1474,0,0,0,0,0,0.07831,0,0,0,0,0.00474,0.56961,0,0,0,0.18426,0,0,0.00091,0,0,0,0.68632,0,0.08264,0,0.60049,9.42371,0,0,0.19299,0,2.51353,0.01028,0.01002,0,0,0.0142,1.67834,0.00152,0.00263,0,0,0.0008,0,0,0,0,0,0,0,0,0.04022,0,0,0,0,0,0,0.008,0,0,0,0.00512,0.00312,0.00102,0,0.00369,0.02616,8.09306,0.01746,0,0.00791,0.04928,0,0,0,0,0.86986,0,0,0.03021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30009,0.00419,2.41925,0.00111,0,0,0,0,0,0,0,0,0,0,0.12468,0,0,0,0,0,0.43608,0.00209,0.02586,0,0,0,0,0,0
8492,0.07478,0.74738,0,0.02595,0.13304,0.095,0,0,0.12927,0.04675,0.06123,1.21812,0,0,0.03248,0,0,0,0,3.66893,0,0,0.26848,0,0,0,0,0,0.48233,0.03473,0,0,0.02984,0,1.12738,0,0,1.92567,0,0.02819,0.62735,3.20926,1.30116,0.70796,0.22788,0,0.49469,0.07363,0.05157,12.34369,0,0,0.57922,0.00467,0.15356,0,0,0,0,0.2315,0.01418,0.30435,0,0,0.12308,0.2444,0,2.16347,0.0283,0.02248,0.22635,0,0,0,0.14684,0.59542,0.06132,0,0.6009,0.54801,0.3137,0.0311,0,0,0,0,0.11175,0.33984,0.21748,0,0.09188,1.09478,0.07471,0.01775,0.38892,0.05679,0.20492,0.16439,0.14741,1.10098,0,0,0,0,0,0,1.87162,0,0,0,0.25372,0,0.00765,1.96986,0.22965,0,0,0,0,0,0,0,0.01691,0,0,0,5.93225,0,0.00486,0.02951,0.07905,0.12431,0.03191,0.08492,0,0,0,0.45436,0.06773,0.03033,0,0.09575,0.04014,0,0.33995,0,0.1135,0,0,0,0,0.35063,0,0,0,0,0.04635,0,0,0.12537,0.15803,0,0.01154,0.33455,0,0.10325,0.00942,0,0,0,0,0,0.58004,0.01192,0,0,0,0.08906,0.13981,0.03903,0.10142,0,0.17289,0,0.06536,0.08078,0,0.03401,0,1.38381,0,0.96461,0,0.38996,3.76771,0,0,0.16979,0,2.99873,0.37972,0.11432,0.05486,0,0.16782,1.48346,0,0.03724,0,0,0,0,0,0,0,0,0,0,0,0.47305,0,0,0,0,0,0,0.03351,0,0,0,0.1165,0,0,0,0,0.391,17.83068,0,0.05082,0,0.35745,0.44239,0,0,0,1.54489,0,0,0.4384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.65376,0,7.37577,0.02349,0,0,0,0,0,0,0,0.29633,0,0.18529,0.00302,0.18418,0.23483,0.05739,0.04184,0.23135,1.00238,0,0.05922,0,0,0.00755,0.21183,0,0
8488,0.01752,0.28409,0,0.00703,0.02001,0,0,0,0,0,0.00067,0.16154,0,0,0,0,0,0,0,1.62677,0,0,0.06499,0,0.04649,0,0,0,0.01328,0,0,0,0,0,0.23959,0,0,0.07307,0,0.16471,0,7.36902,0.53496,0.73885,0,0,0,0,0,4.62643,0.47418,0,0.04006,0,0.0007,0,0,0,0.00315,0.00378,0.03215,0,0,0,0,0,0,1.05755,0.15551,0.00767,0,0,0,0,0.25766,0.0042,0.00311,0,0.0096,0.88419,0.15821,0.40221,0,0,0,0,0,0.11924,0.31351,0,0.24085,0.59663,0,0,0.0044,0,0.02976,0,0,0.02714,0,0,0,0,0,0,1.04594,0,0,0,0.7044,0,0,1.43447,0.61709,0,0,0,0,0,0,0,0,0,0,0,3.47265,0.03352,0,0,0.03202,0.01502,0,0.23867,0,0,0,0,0.00141,0,0,0.03262,0,0,0.08693,0,0.0416,0,0.0025,0,0,0.05616,0,0,0,0,0.01034,0,0,0.00175,0.22518,0,0.00403,0.20305,0,0,0.08985,0,0,0,0,0,0,0.03051,0,0,0,0.00594,0.01604,0,0,0,0.03481,0,0,0,0,0,0,0.15334,0,0.03123,0,0.00554,3.06461,0,0,0.31434,0,1.64267,0,0.03287,0.01619,0,0.0372,0.60536,0.03127,0,0,0,0,0,0,0,0,0,0,0,0,0.57831,0,0,0,0,0,0,0.00117,0,0,0,0.04684,0.17025,0,0,0,0.29307,56.20878,0,0,0,0,0,0,0,0,0.43003,0,0,0.09698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.54181,0.00133,5.35234,0.00252,0,0,0,0,0,0,0,0,0,0,0.02831,0,0,0,0,0,0.06075,0,0.00192,0,0,0,0,0,0
8477,0.01429,0.63948,0,0,0,0,0,0,0,0,0,0.08951,0,0,0,0,0,0,0,1.17663,0,0.00562,0.01334,0,0,0,0,0,0.0477,0,0,0,0,0,0.1514,0,0,0.67706,0,0.34374,0,8.95588,0.30266,4.82007,0,0,0,0.00183,0,10.50287,1.45559,0,0.11846,0,0.02751,0,0,0,0.04444,0.00912,0.03297,0,0,0,0.25893,0,0,1.31682,0.0627,0,0,0.03855,0,0,0.30231,0.71499,0.13492,0,0.50305,0.76138,0.6623,0.05558,0,0.00742,0,0.18156,0,0,0.12658,0.82591,0.06813,1.97836,0.14049,0.1996,0,0.05453,0,0,0,0.20755,0,0,0,0,0,0,2.45115,0,0,0,0.69935,0,0,2.96806,0.00132,0,0,0,0,0,0,0,0,0,0,0,5.31299,0.16566,0,0.01653,0.11532,0.18947,0,0.5613,0,0,0,0,0,0,0,0,0,0,0.18616,0,0.02919,0,0.02452,0,0,0.18974,0,0,0,0,0.06383,0,0,0,0.12694,0,0,0.67407,0,0,0.12987,0,0,0,0,0,0,0.01737,0.01272,0,0.00074,0.00968,0.08498,0,0,0,0.06577,0,0,0,0,0,0,0.08358,0.00999,0.10715,0,0.02233,5.99605,0,0,0.55744,0,2.47717,0,0,0.02582,0,0,0.98531,0.01002,0.0078,0,0,0,0,0,0,0,0,0,0,0,1.71916,0,0,0,0,0,0,0.08075,0,0,0,0.13529,0.01206,0,0.05015,0,0.31475,14.79611,0,0,0.00792,0,0,0,0,0,0.65767,0,0,0.07914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.22098,0.04332,17.29218,0,0,0,0,0,0,0,0,0,0,0,0.09561,0,0,0,0,0,0.07894,0,0,0,0,0,0,0,0
8472,0,3.09296,0,0.00352,0,0,0,0,0,0,0,0.08481,0,0,0,0,0,0,0,0.68747,0,0,0.02205,0,0,0,0,0,0.2623,0,0,0,0,0,0.06884,0,0,0.24726,0,0.07501,0.0314,7.77066,0.66303,7.12134,0.07805,0,0,0.02894,0,14.95865,0.34842,0,0.2666,0,0.05035,0,0,0,0.0263,0.00563,0.12983,0,0,0,0.03099,0,0,1.94767,0.06335,0.0274,0.0369,0.00141,0,0,0.11326,0.32909,0.01366,0,0.75132,1.20412,0.32539,0.01084,0,0.00547,0,0,0.00296,0.03103,0.26291,0,0.1915,0.85718,0,0,0.00174,0.00332,0.00947,0.00025,0.02723,0.0829,0,0,0,0,0,0,1.34553,0,0,0,0.1985,0,0,2.39058,0.03705,0,0,0,0,0,0,0,0,0,0,0,1.87879,0,0,0.00535,0.27408,0.28358,0.26914,0.00167,0,0,0,0,0,0.00182,0,0.016,0,0,1.35933,0,0.14704,0,0.02244,0,0,0.49851,0,0,0,0,0.05739,0,0,0.00332,0.27457,0,0,1.14415,0,0,0.16098,0,0,0,0,0,0.00343,0.03665,0.00264,0,0,0.01344,0.0981,0,0,0,0.06183,0,0,0,0,0,0,0.06675,0,0.02048,0,0.41114,8.69575,0,0,0.0577,0,2.81921,0.05107,0.02609,0.00376,0,0.04167,0.9522,0.00696,0,0,0,0,0,0,0,0,0,0,0,0,0.08833,0,0,0,0,0,0,0.0086,0,0,0,0.03841,0.00452,0.00553,0,0,0.11388,28.06429,0.14279,0.00056,0,0.11108,0.27127,0,0,0,0.67617,0.00193,0,0.01948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91161,0.00752,3.17652,0.0009,0,0,0,0,0,0,0,0.02834,0,0.00698,0.04866,0,0,0,0,0,0.14958,0,0,0,0,0,0.02071,0,0
8470,0.09697,1.64659,0,0.06008,0.01495,0,0,0,0,0,0.04869,1.45936,0,0,0.00701,0,0,0,0,1.38383,0,0,0.0112,0,0,0,0,0,0.16624,0.01121,0,0.00051,0,0,0.35693,0,0,0,0,0,0,2.72615,0.31046,1.51896,0,0,0,0,0,21.95401,0,0,0.72181,0,0,0,0,0.4915,0.01625,0.08325,0.11267,0,0,0,0,0,0,2.01174,0,0,0,0,0,0,0.00435,0.12642,0,0,0.18396,0,0.09913,0.01148,0,0,0,0,0.10183,0,0.07366,0.00995,0,2.18779,0.08429,0,0.07994,0.00928,0.03006,0.00214,0,0.43781,0,0,0,0,0,0,0.76808,0,0,0,0,0,0,1.54595,0.0243,0,0,0,0,0,0,0,0,0,0,0,3.61889,0,0,0.04291,0.27443,0.22292,0,0,0,0,0,0,0.03731,0,0,0,0,0,1.07378,0,0.09513,0,0,0,0,0.24607,0,0,0,0,0.04378,0,0.45429,0,0.46641,0,0,2.15712,0,0.018,0.14272,0,0,0,0,0,0,0,0,0,0,0.00603,0.27288,0,0,0,0.13014,0,0.04429,0.00916,0.03459,0,0,1.90135,0.01371,0.43292,0,0.3798,6.23133,0,0,0.00758,0,4.02181,0,0,0,0,0,1.79321,0.06047,0,0,0,0,0,0,0,0,0,0,0,0,15.16614,0,0,0,0,0,0,0.02343,0,0,0,0.01873,0,0,0,0,0.21469,9.61201,0,0,0,0.03783,0,0,0,0,1.93775,0,0,0.20707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.36275,0.09434,5.85921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01535,0,0.22684,0,0,0,0,0,0,0,0
8467,0,0.4788,0.00698,0,0,0.01822,0,0,0,0.00704,0.00225,0.39468,0,0,0,0,0,0,0,0.3979,0,0,0.04522,0,0.00121,0,0,0,0.06541,0,0,0,0,0,0.41967,0.00014,0,0.21831,0,0.80105,0.05321,2.98654,1.41461,0.28188,0,0,0,0.02371,0,4.64979,0.31546,0,0.19926,0.02078,0.12832,0,0,0.02455,0.04115,0.042,0.04075,0,0,0.18166,0.02026,0.02748,0,2.07514,0.35931,0.04743,0.64351,0.15584,0,0,0.32039,0.083,0.02246,0,0.34347,0.68992,0.33018,0.14421,0.08923,0.02183,0,0.01635,0.02961,0,0.6882,0.11083,0.17656,1.29819,0,0.00257,0.033,0.01821,0,0,0.01303,0.04232,0,0,0,0,0,0,0.89666,0,0,0,0.36793,0,0,1.35324,0.01032,0,0,0,0,0,0,0,0,0,0,0,4.47168,0.14431,0,0.05418,0.79877,0.04827,0.12355,0.40921,0.00541,0,0,0.06698,0,0.0014,0,0.00039,0.00159,0,0.37723,0,0.01953,0,0.01071,0,0,0.09727,0,0,0,0,0.10075,0.00953,0.07805,0.01254,0.22337,0,0.0311,0.27929,0,0.00106,0.00684,0,0,0,0,0,0.12748,0.03625,0,0,0.00755,0.02673,0.04684,0,0.00223,0,0.0994,0,0,0,0.00399,0,0,0.47696,0,0.12525,0,0.11696,2.58433,0,0,0.079,0,2.46359,0.02076,0.05964,0.00418,0,0,2.02636,0.00407,0.04225,0,0,0,0,0,0,0,0,0,0,0,3.06271,0,0,0,0,0,0,0.16014,0,0,0,0,0.08382,0.01636,0,0.00701,0.17509,41.78042,0,0.00692,0,0.25824,7.15349,0,0.03211,0,0.89837,0,0,0.11217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.24457,0.01994,3.32042,0,0,0,0,0,0,0,0.0103,0,0.06014,0.16075,0.11223,0.00864,0,0.0037,0.18439,0.06277,0.55958,0.00148,0.02355,0,0,0.05322,0.00941,0,0
8463,0.00734,0.37472,0,0.00109,0.02507,0,0,0,0,0,0.00073,0.46982,0,0,0,0,0,0,0,0.43068,0,0,0.07679,0,0,0,0,0,0.12273,0.09208,0,0,0.02419,0,1.47965,0,0.05865,0.22108,0,0.01607,0.12708,5.33849,3.35394,0.09525,0,0,0,0.17778,0.11072,9.44148,0.05811,0,1.00086,0.21939,0.16192,0.00976,0,0.05173,0,0.03031,0,0.37344,0,0,0.28416,0,0,2.19621,0.02872,0.27687,0,0.65028,0,0,0.06673,1.5455,0.01248,0,0.69873,0.0755,0.3478,1.65506,0,0.02316,0,0.01089,1.17689,0.03954,0.1382,0.01671,0.04108,2.7621,0.04762,0,0,0.03206,0.07692,0.0214,0.06724,0.96193,0.01268,0,0,0,0,0,0.28855,0,0,0,0.0916,0,0,0.4093,0,0,0,0,0,0,0,0,0,0,0,0,1.1437,0.00773,0,0,0.32301,0.02104,0.02563,0.24845,0,0,0,0.62225,0.03455,0.01306,0,0.10337,0,0,1.16677,0,0.20764,0,0.00255,0,0,0.52797,0,0,0,0,0.11914,0.14826,0,0.00471,0.09059,0,0.04616,0.08486,0,0.09477,0,0,0,0,0,0,0.72947,0.01557,0,0,0.43153,0.10951,0.1514,0.10548,0.2288,0,0.08555,0,0.12024,0.03614,0,0,0,0.71179,0.04754,0.46751,0,0.00296,1.56021,0,0,1.12895,0,3.07062,0.21757,0.07167,0.01734,0,0.34768,2.22606,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13741,0,0,0,0,0,0,0.38992,0,0,0,0.0769,0.02034,0,0,0,0.04144,20.40916,0,0.03743,0,0.26846,0,0.04839,0,0,0.819,0,0,0.17849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.82978,0.02377,2.28207,0,0,0,0,0,0,0,0,0.05481,1.50866,0.75368,0.00532,0,0.51837,0.44817,1.14581,0.20061,4.18539,0.23083,0.36323,0,0,1.0769,0.01902,0,0
8458,0.01778,1.25327,0,0,0.02376,0.00059,0,0,0,0,0,0.13269,0,0,0,0,0,0,0,2.23999,0,0,0.00287,0,0,0,0,0.00715,0.30242,0.00402,0,0,0,0,0.16795,0,0.0111,0.04411,0,0.0058,0.00698,2.85922,0.41002,1.42893,0.00485,0,0,0.01315,0,29.77821,0.06696,0,0.23474,0,0.04332,0,0,0.03745,0.19361,0.04387,0.32956,0.04838,0,0,0.08391,0.02085,0,1.44536,0.38189,0.13237,0,0,0,0,0.09788,0,0,0,0.07223,0.24518,0.13404,0.22929,0,0,0,0,0.06019,0,0.06668,0,0.16714,0.50201,0,0,0,0,0.00031,0.01429,0.00867,0.24844,0,0,0,0,0,0,0.51357,0,0,0,0.05302,0,0,0.91356,0.0045,0,0,0,0,0,0,0,0,0,0,0,4.99141,0,0,0.02031,0.11786,0.05675,0.00169,0.05313,0,0,0,0.02133,0.00179,0,0,0,0.00397,0,0.82239,0,0.11611,0,0,0,0,0.12494,0,0,0,0,0.02217,0,0.00815,0,0.50732,0,0.00381,1.00072,0,0.00633,0.21434,0,0,0,0,0,0.16834,0.00186,0.00188,0,0.00535,0.02314,0.13766,0,0.00602,0,0.0312,0,0.01057,0.00453,0,0,0,0.83098,0.03051,0.14005,0,2.17934,13.8562,0,0,0.09158,0,2.28369,0.00128,0,0.00141,0,0,3.46623,0.00452,0,0,0,0,0,0,0,0,0,0,0,0,0.82626,0,0,0,0,0,0,0,0,0,0,0.05135,0,0,0,0.00526,0.13133,16.4043,0.00236,0,0,0,0.3304,0,0,0,1.56607,0,0,0.08299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99983,0.11254,1.99282,0,0,0,0,0,0,0,0.0246,0.01928,0.04879,0.11002,0.05015,0.00847,0,0.02387,0.1013,0.02769,0.52016,0.01074,0.03796,0.00486,0,0.01406,0.0092,0,0
8457,0.06127,2.48808,0,0,0.01534,0,0,0,0,0,0.0277,0.07163,0,0,0,0,0,0,0,1.74027,0,0,0.01522,0,0,0.00441,0,0,0.23319,0,0,0,0.00141,0,1.15145,0,0,0.03636,0,0.03071,0,1.52384,0.08213,1.09791,0.02412,0,0,0.02528,0,29.93943,0.06409,0,0.57861,0,0,0,0,0,1.01066,0.01891,0.48542,0,0,0,0.01263,0,0,0.78392,0.00344,0.01662,0,0,0,0,0.03967,0,0,0,0.00479,1.27689,0.05755,0.03388,0,0,0,0.22194,0,0,0,0,0.11324,2.7796,0.00676,0,0,0.03054,0,0,0,0.01311,0,0,0,0,0,0,0.2445,0,0,0,0,0,0,0.83189,0.00781,0,0,0,0,0,0,0,0,0,0,0,3.69441,0.42677,0,0.11461,0.58711,0.30288,0,0.00096,0,0,0,0,0.00085,0,0,0,0,0,1.14876,0,0.08149,0,0.07996,0,0,0.26875,0,0,0,0,0,0,0.01018,0,0.2512,0,0.11966,0.98411,0,0.00036,0.10035,0,0,0,0,0,0.02625,0.01281,0.00748,0,0,0,0.09305,0,0.0471,0,0.39837,0,0.00197,0,0,0,0,0.74924,0,0.0665,0,0.05379,14.84402,0,0,0.25263,0,2.95759,0,0.01433,0.00717,0,0,4.32782,0.0046,0,0,0,0,0,0,0,0,0,0,0,0,1.26108,0,0,0,0,0,0,0.07552,0,0,0,0.03102,0.00612,0.04985,0,0,0.04844,11.10909,0,0,0,0,0,0,0,0,4.12274,0,0,0.04158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18618,0,1.47018,0.00283,0,0,0,0,0,0,0,0,0,0,0.55096,0,0,0,0,0,1.76591,0,0.00366,0,0,0,0.0315,0,0
